date,vehicle_category,maker,electric_vehicles_sold
01-Aug-23,2-Wheelers,TVS,15296
01-Aug-23,2-Wheelers,ATHER,7065
01-Aug-23,2-Wheelers,BAJAJ,6508
01-Aug-23,2-Wheelers,AMPERE,3654
01-Aug-23,2-Wheelers,OKINAWA,1977
01-Aug-23,2-Wheelers,HERO ELECTRIC,774
01-Aug-23,2-Wheelers,OKAYA EV,1137
01-Aug-23,2-Wheelers,BGAUSS,912
01-Aug-23,2-Wheelers,BATTRE ELECTRIC,287
01-Aug-23,2-Wheelers,KINETIC GREEN,380
01-Aug-23,2-Wheelers,REVOLT,508
01-Aug-23,2-Wheelers,OTHERS,4990
01-Sep-21,2-Wheelers,HERO ELECTRIC,6727
01-Sep-21,2-Wheelers,OKINAWA,3321
01-Sep-21,2-Wheelers,AMPERE,807
01-Sep-21,2-Wheelers,ATHER,2174
01-Sep-21,2-Wheelers,PURE EV,1337
01-Sep-21,2-Wheelers,TVS,688
01-Sep-21,2-Wheelers,REVOLT,499
01-Sep-21,2-Wheelers,BAJAJ,381
01-Sep-21,2-Wheelers,BEING,337
01-Sep-21,2-Wheelers,JITENDRA,134
01-Sep-21,2-Wheelers,OTHERS,1627
01-Sep-22,2-Wheelers,OLA ELECTRIC,8065
01-Sep-22,2-Wheelers,OKINAWA,8497
01-Sep-22,2-Wheelers,HERO ELECTRIC,8208
01-Sep-22,2-Wheelers,AMPERE,6488
01-Sep-22,2-Wheelers,TVS,4001
01-Sep-22,2-Wheelers,ATHER,6280
01-Sep-22,2-Wheelers,BAJAJ,3649
01-Sep-22,2-Wheelers,OKAYA EV,954
01-Sep-22,2-Wheelers,REVOLT,865
01-Sep-22,2-Wheelers,PURE EV,790
01-Sep-22,2-Wheelers,BEING,975
01-Sep-22,2-Wheelers,JITENDRA,661
01-Sep-22,2-Wheelers,OTHERS,3849
01-Sep-23,2-Wheelers,OLA ELECTRIC,18926
01-Sep-23,2-Wheelers,TVS,15425
01-Sep-23,2-Wheelers,ATHER,7107
01-Sep-23,2-Wheelers,BAJAJ,7019
01-Sep-23,2-Wheelers,AMPERE,4148
01-Sep-23,2-Wheelers,OKINAWA,1769
01-Sep-23,2-Wheelers,HERO ELECTRIC,835
01-Sep-23,2-Wheelers,OKAYA EV,873
01-Sep-23,2-Wheelers,BGAUSS,924
01-Sep-23,2-Wheelers,BATTRE ELECTRIC,255
01-Sep-23,2-Wheelers,KINETIC GREEN,231
01-Sep-23,2-Wheelers,REVOLT,879
01-Sep-23,2-Wheelers,OTHERS,5355
01-Oct-21,2-Wheelers,HERO ELECTRIC,6799
01-Oct-21,2-Wheelers,OKINAWA,4166
01-Oct-21,2-Wheelers,AMPERE,1083
01-Oct-21,2-Wheelers,ATHER,2647
01-Oct-21,2-Wheelers,PURE EV,1400
01-Oct-21,2-Wheelers,TVS,486
01-Oct-21,2-Wheelers,REVOLT,900
01-Oct-21,2-Wheelers,BAJAJ,754
01-Oct-21,2-Wheelers,BEING,469
01-Oct-21,2-Wheelers,JITENDRA,283
01-Oct-21,2-Wheelers,OTHERS,1826
01-Oct-22,2-Wheelers,OLA ELECTRIC,15391
01-Oct-22,2-Wheelers,OKINAWA,14950
01-Oct-22,2-Wheelers,HERO ELECTRIC,8868
01-Oct-22,2-Wheelers,AMPERE,10113
01-Oct-22,2-Wheelers,TVS,5820
01-Oct-22,2-Wheelers,ATHER,7356
01-Oct-22,2-Wheelers,BAJAJ,3549
01-Oct-22,2-Wheelers,OKAYA EV,1968
01-Oct-22,2-Wheelers,REVOLT,1041
01-Oct-22,2-Wheelers,PURE EV,1047
01-Oct-22,2-Wheelers,BEING,1422
01-Oct-22,2-Wheelers,JITENDRA,1111
01-Oct-22,2-Wheelers,OTHERS,4614
01-Oct-23,2-Wheelers,OLA ELECTRIC,23968
01-Oct-23,2-Wheelers,TVS,16309
01-Oct-23,2-Wheelers,ATHER,8375
01-Oct-23,2-Wheelers,BAJAJ,8960
01-Oct-23,2-Wheelers,AMPERE,4487
01-Oct-23,2-Wheelers,OKINAWA,1457
01-Oct-23,2-Wheelers,HERO ELECTRIC,658
01-Oct-23,2-Wheelers,OKAYA EV,863
01-Oct-23,2-Wheelers,BGAUSS,1157
01-Oct-23,2-Wheelers,BATTRE ELECTRIC,227
01-Oct-23,2-Wheelers,KINETIC GREEN,389
01-Oct-23,2-Wheelers,REVOLT,681
01-Oct-23,2-Wheelers,OTHERS,7092
01-Nov-21,2-Wheelers,HERO ELECTRIC,7493
01-Nov-21,2-Wheelers,OKINAWA,5542
01-Nov-21,2-Wheelers,AMPERE,2077
01-Nov-21,2-Wheelers,ATHER,2202
01-Nov-21,2-Wheelers,PURE EV,1688
01-Nov-21,2-Wheelers,TVS,522
01-Nov-21,2-Wheelers,REVOLT,780
01-Nov-21,2-Wheelers,BAJAJ,728
01-Nov-21,2-Wheelers,BEING,912
01-Nov-21,2-Wheelers,JITENDRA,273
01-Nov-21,2-Wheelers,OTHERS,2317
01-Nov-22,2-Wheelers,OLA ELECTRIC,15797
01-Nov-22,2-Wheelers,OKINAWA,9068
01-Nov-22,2-Wheelers,HERO ELECTRIC,9026
01-Nov-22,2-Wheelers,AMPERE,12446
01-Nov-22,2-Wheelers,TVS,8147
01-Nov-22,2-Wheelers,ATHER,7837
01-Nov-22,2-Wheelers,BAJAJ,3057
01-Nov-22,2-Wheelers,OKAYA EV,1783
01-Nov-22,2-Wheelers,REVOLT,524
01-Nov-22,2-Wheelers,PURE EV,925
01-Nov-22,2-Wheelers,BEING,1216
01-Nov-22,2-Wheelers,JITENDRA,1256
01-Nov-22,2-Wheelers,OTHERS,5693
01-Nov-23,2-Wheelers,OLA ELECTRIC,29980
01-Nov-23,2-Wheelers,TVS,18914
01-Nov-23,2-Wheelers,ATHER,9220
01-Nov-23,2-Wheelers,BAJAJ,11769
01-Nov-23,2-Wheelers,AMPERE,4638
01-Nov-23,2-Wheelers,OKINAWA,1587
01-Nov-23,2-Wheelers,HERO ELECTRIC,814
01-Nov-23,2-Wheelers,OKAYA EV,1281
01-Nov-23,2-Wheelers,BGAUSS,1589
01-Nov-23,2-Wheelers,BATTRE ELECTRIC,659
01-Nov-23,2-Wheelers,KINETIC GREEN,422
01-Nov-23,2-Wheelers,REVOLT,663
01-Nov-23,2-Wheelers,OTHERS,9707
01-Dec-21,2-Wheelers,HERO ELECTRIC,6402
01-Dec-21,2-Wheelers,OKINAWA,6184
01-Dec-21,2-Wheelers,AMPERE,3410
01-Dec-21,2-Wheelers,ATHER,1813
01-Dec-21,2-Wheelers,PURE EV,1685
01-Dec-21,2-Wheelers,OLA ELECTRIC,240
01-Dec-21,2-Wheelers,TVS,1119
01-Dec-21,2-Wheelers,REVOLT,835
01-Dec-21,2-Wheelers,BAJAJ,642
01-Dec-21,2-Wheelers,BEING,1190
01-Dec-21,2-Wheelers,JITENDRA,503
01-Dec-21,2-Wheelers,OTHERS,2603
01-Dec-22,2-Wheelers,OLA ELECTRIC,16919
01-Dec-22,2-Wheelers,OKINAWA,5281
01-Dec-22,2-Wheelers,HERO ELECTRIC,8100
01-Dec-22,2-Wheelers,AMPERE,4592
01-Dec-22,2-Wheelers,TVS,9363
01-Dec-22,2-Wheelers,ATHER,7693
01-Dec-22,2-Wheelers,BAJAJ,3240
01-Dec-22,2-Wheelers,OKAYA EV,1445
01-Dec-22,2-Wheelers,REVOLT,37
01-Dec-22,2-Wheelers,PURE EV,780
01-Dec-22,2-Wheelers,BEING,966
01-Dec-22,2-Wheelers,JITENDRA,668
01-Dec-22,2-Wheelers,OTHERS,5557
01-Dec-23,2-Wheelers,OLA ELECTRIC,30588
01-Dec-23,2-Wheelers,TVS,12171
01-Dec-23,2-Wheelers,ATHER,6471
01-Dec-23,2-Wheelers,BAJAJ,10292
01-Dec-23,2-Wheelers,AMPERE,3309
01-Dec-23,2-Wheelers,OKINAWA,953
01-Dec-23,2-Wheelers,HERO ELECTRIC,545
01-Dec-23,2-Wheelers,OKAYA EV,700
01-Dec-23,2-Wheelers,BGAUSS,1200
01-Dec-23,2-Wheelers,BATTRE ELECTRIC,241
01-Dec-23,2-Wheelers,KINETIC GREEN,660
01-Dec-23,2-Wheelers,REVOLT,673
01-Dec-23,2-Wheelers,OTHERS,7691
01-Jan-22,2-Wheelers,HERO ELECTRIC,8238
01-Jan-22,2-Wheelers,OKINAWA,5737
01-Jan-22,2-Wheelers,AMPERE,4366
01-Jan-22,2-Wheelers,ATHER,1881
01-Jan-22,2-Wheelers,PURE EV,1691
01-Jan-22,2-Wheelers,OLA ELECTRIC,1107
01-Jan-22,2-Wheelers,TVS,1155
01-Jan-22,2-Wheelers,REVOLT,673
01-Jan-22,2-Wheelers,BAJAJ,612
01-Jan-22,2-Wheelers,BEING,1062
01-Jan-22,2-Wheelers,JITENDRA,535
01-Jan-22,2-Wheelers,OTHERS,3065
01-Jan-23,2-Wheelers,OLA ELECTRIC,20148
01-Jan-23,2-Wheelers,OKINAWA,4407
01-Jan-23,2-Wheelers,HERO ELECTRIC,6399
01-Jan-23,2-Wheelers,AMPERE,4456
01-Jan-23,2-Wheelers,TVS,10462
01-Jan-23,2-Wheelers,ATHER,9224
01-Jan-23,2-Wheelers,BAJAJ,2252
01-Jan-23,2-Wheelers,OKAYA EV,1265
01-Jan-23,2-Wheelers,REVOLT,14
01-Jan-23,2-Wheelers,PURE EV,717
01-Jan-23,2-Wheelers,BEING,571
01-Jan-23,2-Wheelers,JITENDRA,522
01-Jan-23,2-Wheelers,OTHERS,4241
01-Jan-24,2-Wheelers,OLA ELECTRIC,32275
01-Jan-24,2-Wheelers,TVS,15153
01-Jan-24,2-Wheelers,ATHER,9244
01-Jan-24,2-Wheelers,BAJAJ,10753
01-Jan-24,2-Wheelers,AMPERE,2505
01-Jan-24,2-Wheelers,OKINAWA,675
01-Jan-24,2-Wheelers,HERO ELECTRIC,413
01-Jan-24,2-Wheelers,OKAYA EV,574
01-Jan-24,2-Wheelers,BGAUSS,1469
01-Jan-24,2-Wheelers,BATTRE ELECTRIC,284
01-Jan-24,2-Wheelers,KINETIC GREEN,810
01-Jan-24,2-Wheelers,REVOLT,524
01-Jan-24,2-Wheelers,OTHERS,6664
01-Feb-22,2-Wheelers,HERO ELECTRIC,7773
01-Feb-22,2-Wheelers,OKINAWA,6122
01-Feb-22,2-Wheelers,AMPERE,4431
01-Feb-22,2-Wheelers,ATHER,2232
01-Feb-22,2-Wheelers,PURE EV,1428
01-Feb-22,2-Wheelers,OLA ELECTRIC,3911
01-Feb-22,2-Wheelers,TVS,1560
01-Feb-22,2-Wheelers,REVOLT,1128
01-Feb-22,2-Wheelers,BAJAJ,1372
01-Feb-22,2-Wheelers,BEING,1149
01-Feb-22,2-Wheelers,JITENDRA,583
01-Feb-22,2-Wheelers,OTHERS,4033
01-Feb-23,2-Wheelers,OLA ELECTRIC,17762
01-Feb-23,2-Wheelers,OKINAWA,3848
01-Feb-23,2-Wheelers,HERO ELECTRIC,5863
01-Feb-23,2-Wheelers,AMPERE,6003
01-Feb-23,2-Wheelers,TVS,12671
01-Feb-23,2-Wheelers,ATHER,10069
01-Feb-23,2-Wheelers,BAJAJ,2537
01-Feb-23,2-Wheelers,OKAYA EV,1232
01-Feb-23,2-Wheelers,REVOLT,79
01-Feb-23,2-Wheelers,PURE EV,488
01-Feb-23,2-Wheelers,BEING,337
01-Feb-23,2-Wheelers,JITENDRA,308
01-Feb-23,2-Wheelers,OTHERS,4874
01-Feb-24,2-Wheelers,OLA ELECTRIC,33967
01-Feb-24,2-Wheelers,TVS,14431
01-Feb-24,2-Wheelers,ATHER,8957
01-Feb-24,2-Wheelers,BAJAJ,11603
01-Feb-24,2-Wheelers,AMPERE,2577
01-Feb-24,2-Wheelers,OKINAWA,652
01-Feb-24,2-Wheelers,HERO ELECTRIC,323
01-Feb-24,2-Wheelers,OKAYA EV,649
01-Feb-24,2-Wheelers,BGAUSS,1334
01-Feb-24,2-Wheelers,BATTRE ELECTRIC,219
01-Feb-24,2-Wheelers,KINETIC GREEN,624
01-Feb-24,2-Wheelers,REVOLT,473
01-Feb-24,2-Wheelers,OTHERS,6154
01-Mar-22,2-Wheelers,HERO ELECTRIC,13652
01-Mar-22,2-Wheelers,OKINAWA,8586
01-Mar-22,2-Wheelers,AMPERE,6666
01-Mar-22,2-Wheelers,ATHER,2232
01-Mar-22,2-Wheelers,PURE EV,2065
01-Mar-22,2-Wheelers,OLA ELECTRIC,9143
01-Mar-22,2-Wheelers,TVS,2391
01-Mar-22,2-Wheelers,REVOLT,1413
01-Mar-22,2-Wheelers,BAJAJ,855
01-Mar-22,2-Wheelers,BEING,1013
01-Mar-22,2-Wheelers,JITENDRA,1052
01-Mar-22,2-Wheelers,OTHERS,5330
01-Mar-23,2-Wheelers,OLA ELECTRIC,22398
01-Mar-23,2-Wheelers,OKINAWA,4509
01-Mar-23,2-Wheelers,HERO ELECTRIC,6661
01-Mar-23,2-Wheelers,AMPERE,9736
01-Mar-23,2-Wheelers,TVS,16896
01-Mar-23,2-Wheelers,ATHER,12180
01-Mar-23,2-Wheelers,BAJAJ,4552
01-Mar-23,2-Wheelers,OKAYA EV,1765
01-Mar-23,2-Wheelers,REVOLT,1140
01-Mar-23,2-Wheelers,PURE EV,584
01-Mar-23,2-Wheelers,BEING,446
01-Mar-23,2-Wheelers,JITENDRA,350
01-Mar-23,2-Wheelers,OTHERS,5089
01-Mar-24,2-Wheelers,OLA ELECTRIC,44630
01-Mar-24,2-Wheelers,TVS,26158
01-Mar-24,2-Wheelers,ATHER,17012
01-Mar-24,2-Wheelers,BAJAJ,17716
01-Mar-24,2-Wheelers,AMPERE,3108
01-Mar-24,2-Wheelers,OKINAWA,673
01-Mar-24,2-Wheelers,HERO ELECTRIC,316
01-Mar-24,2-Wheelers,OKAYA EV,1218
01-Mar-24,2-Wheelers,BGAUSS,3070
01-Mar-24,2-Wheelers,BATTRE ELECTRIC,625
01-Mar-24,2-Wheelers,KINETIC GREEN,3915
01-Mar-24,2-Wheelers,REVOLT,585
01-Mar-24,2-Wheelers,OTHERS,10579
